array_size          ,Time(s)             ,Speedup             ,procnum             
65536               ,0.006544            ,1.000000            ,1                   
65536               ,0.003927            ,1.666412            ,2                   
65536               ,0.002780            ,2.353957            ,4                   
65536               ,0.002169            ,3.017059            ,8                   
131072              ,0.013893            ,1.000000            ,1                   
131072              ,0.008658            ,1.604643            ,2                   
131072              ,0.005249            ,2.646790            ,4                   
131072              ,0.004224            ,3.289062            ,8                   
262144              ,0.030443            ,1.000000            ,1                   
262144              ,0.017664            ,1.723449            ,2                   
262144              ,0.011505            ,2.646067            ,4                   
262144              ,0.008456            ,3.600166            ,8                   
524288              ,0.065355            ,1.000000            ,1                   
524288              ,0.036861            ,1.773012            ,2                   
524288              ,0.021492            ,3.040899            ,4                   
524288              ,0.016804            ,3.889253            ,8                   
